"ID";"指定子";"フットプリント";"数量";"名称";"供給業者、参考資料";
1;"M2,M1";"PinHeader_1x03_P2.54mm_Vertical";2;"SG90";;;
2;"J2";"JST_XH_B5B-XH-A_1x05_P2.50mm_Vertical";1;"writer";;;
3;"U3";"DRV8835-Module";1;"DRV8835 Module";;;
4;"R5,R4,R3";"R_0603_1608Metric_Pad0.98x0.95mm_HandSolder";3;"10k";;;
5;"D1";"LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder";1;"TLRE1002A";;;
6;"J1";"JST_XH_B2B-XH-A_1x02_P2.50mm_Vertical";1;"3.7v";;;
7;"U1";"TO-252-2";1;"NJM2845DL1-33";;;
8;"C4,C1,C7,C2";"C_0603_1608Metric_Pad1.08x0.95mm_HandSolder";4;"0.1μ";;;
9;"C3,C5";"C_1206_3216Metric_Pad1.33x1.80mm_HandSolder";2;"22μ";;;
10;"U2";"ESP32-WROOM-32E__16MB";1;"ESP32-WROOM-32E_16MB";;;
11;"J5";"JST_XH_B2B-XH-A_1x02_P2.50mm_Vertical";1;"MotorA";;;
12;"J4";"microSD_HC_Hirose_DM3AT-SF-PEJM5";1;"Micro_SD_Card_DW3AT-SF-PFJM5";;;
13;"S2,S1";"SW_SKRPACE010";2;"SKRPACE010";;;
14;"C6";"C_0603_1608Metric_Pad1.08x0.95mm_HandSolder";1;"C_1608";;;
15;"R2";"R_0603_1608Metric_Pad0.98x0.95mm_HandSolder";1;"R_1608";;;
16;"J7";"JST_XH_B4B-XH-A_1x04_P2.50mm_Vertical";1;"SPI";;;
17;"R1";"R_0603_1608Metric_Pad0.98x0.95mm_HandSolder";1;"330";;;
18;"J6";"JST_XH_B2B-XH-A_1x02_P2.50mm_Vertical";1;"MotorB";;;
19;"J3";"JST_XH_B4B-XH-A_1x04_P2.50mm_Vertical";1;"SSD1306";;;
